A & Z;ALVAC;ARAMAYO;CONALVIAS;CONCAR;CASA;CONST. CIV. PORT.;VIALPA;MAYO;COSAPI;EMV LA MARG.;GUEVARA;ICCGSA;JJC;JOHE SA;MOTA-ENGIL;MPM S.A.;OBRAIN S.A.;ODEBRECHT;SANTA VICTORIA;SVC;TEC. VIALES
0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0
0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;4;0;0;4;0
0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0
0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;3;0;3;0;3;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0
